CustomerID,first_date,last_date,T,frequency,recency,Sales,avg_freq,sleeping
12346,2011-01-18,2011-01-18,325,0,0,77183.6,0.0,325
12347,2010-12-07,2011-12-07,367,6,365,4309.999999999997,61.0,2
12348,2010-12-16,2011-09-25,358,3,283,1797.24,94.0,75
12349,2011-11-21,2011-11-21,18,0,0,1757.55,0.0,18
12350,2011-02-02,2011-02-02,310,0,0,334.40000000000003,0.0,310
12352,2011-02-16,2011-11-03,296,6,260,2506.040000000001,43.0,36
12353,2011-05-19,2011-05-19,204,0,0,89.0,0.0,204
12354,2011-04-21,2011-04-21,232,0,0,1079.4,0.0,232
12355,2011-05-09,2011-05-09,214,0,0,459.4,0.0,214
12356,2011-01-18,2011-11-17,325,2,303,2811.430000000001,152.0,22
12357,2011-11-06,2011-11-06,33,0,0,6207.669999999996,0.0,33
12358,2011-07-12,2011-12-08,150,1,149,1168.06,149.0,1
12359,2011-01-12,2011-10-13,331,3,274,6372.580000000005,91.0,57
12360,2011-05-23,2011-10-18,200,2,148,2662.0600000000004,74.0,52
12361,2011-02-25,2011-02-25,287,0,0,189.90000000000003,0.0,287
12362,2011-02-17,2011-12-06,295,9,292,5226.230000000003,32.0,3
12363,2011-04-11,2011-08-22,242,1,133,552.0,133.0,109
12364,2011-08-19,2011-12-02,112,3,105,1313.1000000000001,35.0,7
12365,2011-02-21,2011-02-21,291,0,0,641.38,0.0,291
12367,2011-12-05,2011-12-05,4,0,0,168.9,0.0,4
12370,2010-12-14,2011-10-19,360,3,309,3545.689999999998,103.0,51
12371,2011-10-11,2011-10-26,59,1,15,1887.9600000000003,15.0,44
12372,2011-02-16,2011-09-29,296,2,225,1298.0400000000002,112.0,71
12373,2011-02-01,2011-02-01,311,0,0,364.6,0.0,311
12374,2011-11-14,2011-11-14,25,0,0,742.93,0.0,25
12375,2011-09-02,2011-11-29,98,1,88,457.5000000000001,88.0,10
12377,2010-12-20,2011-01-28,354,1,39,1628.12,39.0,315
12378,2011-08-02,2011-08-02,129,0,0,4008.6200000000013,0.0,129
12379,2011-06-22,2011-09-19,170,1,89,852.2399999999997,89.0,81
12380,2011-06-07,2011-11-18,185,3,164,2724.81,55.0,21
12381,2011-08-12,2011-12-05,119,4,115,1845.3100000000006,29.0,4
12383,2010-12-22,2011-06-08,352,4,168,1850.5599999999997,42.0,184
12384,2011-08-10,2011-11-11,121,1,93,585.2700000000001,93.0,28
12386,2010-12-08,2011-01-06,366,1,29,401.90000000000003,29.0,337
12388,2011-01-17,2011-11-24,326,5,311,2780.6600000000003,62.0,15
12390,2011-09-21,2011-09-21,79,0,0,549.84,0.0,79
12391,2011-11-18,2011-11-18,21,0,0,460.88999999999993,0.0,21
12393,2011-01-11,2011-09-28,332,3,260,1582.6000000000004,87.0,72
12394,2011-05-06,2011-10-07,217,1,154,1272.48,154.0,63
12395,2010-12-03,2011-11-20,371,10,352,3018.6299999999987,35.0,19
12397,2011-07-27,2011-11-04,135,1,100,2409.9000000000005,100.0,35
12398,2011-10-25,2011-10-25,45,0,0,1635.6599999999999,0.0,45
12399,2011-03-23,2011-08-12,261,3,142,1108.65,47.0,119
12401,2011-02-09,2011-02-09,303,0,0,84.3,0.0,303
12402,2011-01-20,2011-01-20,323,0,0,225.60000000000002,0.0,323
12403,2011-10-21,2011-10-21,49,0,0,427.7,0.0,49
12405,2011-07-14,2011-07-14,148,0,0,1710.3900000000006,0.0,148
12406,2011-06-09,2011-11-17,183,1,161,3415.300000000001,161.0,22
12407,2011-03-20,2011-10-21,264,4,215,1708.1199999999997,54.0,49
12408,2011-03-24,2011-11-07,260,3,228,2888.5500000000006,76.0,32
12409,2011-06-10,2011-09-22,182,2,104,11072.670000000002,52.0,78
12410,2011-02-04,2011-02-04,308,0,0,693.3299999999999,0.0,308
12412,2011-06-23,2011-09-26,169,2,95,1226.8799999999999,48.0,74
12413,2011-01-06,2011-10-04,337,2,271,758.0999999999999,136.0,66
12414,2011-02-02,2011-05-06,310,2,93,562.41,46.0,217
12415,2011-01-06,2011-11-15,337,15,313,124914.52999999975,21.0,24
12417,2010-12-17,2011-12-06,357,8,354,3649.1,44.0,3
12418,2011-08-19,2011-08-19,112,0,0,668.5799999999998,0.0,112
12420,2011-10-07,2011-10-07,63,0,0,600.3900000000001,0.0,63
12421,2011-01-24,2011-11-24,319,3,304,807.0400000000002,101.0,15
12422,2011-01-19,2011-09-05,324,2,229,803.5599999999998,114.0,95
12423,2010-12-21,2011-12-09,353,7,353,1859.3100000000002,50.0,0
12424,2011-06-30,2011-06-30,162,0,0,1760.9599999999996,0.0,162
12425,2011-09-22,2011-09-22,78,0,0,777.1999999999999,0.0,78
12426,2011-05-29,2011-05-29,194,0,0,582.73,0.0,194
12427,2010-12-03,2011-11-18,371,2,350,825.8000000000002,175.0,21
12428,2011-03-01,2011-11-14,283,6,258,7956.460000000004,43.0,25
12429,2010-12-09,2011-11-30,365,3,356,3750.400000000001,119.0,9
12430,2011-10-27,2011-10-27,43,0,0,256.4,0.0,43
12431,2010-12-01,2011-11-04,373,13,338,6487.449999999999,26.0,35
12432,2011-06-20,2011-10-28,172,2,130,5059.3200000000015,65.0,42
12433,2010-12-01,2011-12-09,373,5,373,13375.869999999992,75.0,0
12434,2011-03-24,2011-09-16,260,1,176,806.14,176.0,84
12435,2011-03-17,2011-09-21,267,1,188,7829.8899999999985,188.0,79
12436,2011-09-01,2011-09-01,99,0,0,509.01,0.0,99
12437,2011-01-12,2011-12-08,331,14,330,4951.409999999997,24.0,1
12438,2011-07-22,2011-11-25,140,1,126,2906.8500000000004,126.0,14
12441,2010-12-08,2010-12-08,366,0,0,173.55,0.0,366
12442,2011-12-06,2011-12-06,3,0,0,172.06,0.0,3
12444,2011-06-21,2011-11-18,171,4,150,5005.46,38.0,21
12445,2011-11-17,2011-11-17,22,0,0,133.4,0.0,22
12446,2011-10-13,2011-10-13,57,0,0,1002.3099999999998,0.0,57
12447,2011-04-10,2011-04-10,243,0,0,476.49,0.0,243
12448,2011-10-26,2011-10-26,44,0,0,449.4500000000001,0.0,44
12449,2011-06-05,2011-11-17,187,3,165,4067.2900000000013,55.0,22
12450,2011-06-19,2011-07-06,173,1,17,197.88,17.0,156
12451,2011-01-19,2011-11-29,324,4,314,9035.519999999999,78.0,10
12452,2011-11-23,2011-11-23,16,0,0,430.5700000000001,0.0,16
12453,2011-07-28,2011-07-28,134,0,0,707.0899999999999,0.0,134
12454,2011-10-14,2011-10-14,56,0,0,3528.34,0.0,56
12455,2011-02-16,2011-09-27,296,5,223,2466.859999999997,45.0,73
12456,2011-03-30,2011-10-26,254,2,210,3181.039999999998,105.0,44
12457,2011-04-14,2011-10-04,239,6,173,2363.2299999999996,29.0,66
12458,2011-02-28,2011-09-29,284,1,213,947.4000000000002,213.0,71
12461,2011-07-08,2011-09-06,154,1,60,826.8800000000002,60.0,94
12462,2011-02-09,2011-11-21,303,1,285,1189.5900000000001,285.0,18
12463,2011-04-12,2011-10-17,241,3,188,1344.7799999999997,63.0,53
12464,2011-02-03,2011-11-29,309,6,299,1212.05,50.0,10
12465,2011-06-23,2011-11-22,169,1,152,742.1900000000002,152.0,17
12468,2011-01-27,2011-06-05,316,1,129,729.5400000000001,129.0,187
12471,2010-12-10,2011-12-07,364,19,362,19824.049999999945,19.0,2
12472,2010-12-05,2011-11-07,369,6,337,6572.110000000003,56.0,32
12473,2011-06-01,2011-11-10,191,3,162,3938.55,54.0,29
12474,2011-01-14,2011-11-22,329,16,312,7375.789999999998,20.0,17
12475,2011-10-17,2011-10-17,53,0,0,723.38,0.0,53
12476,2010-12-13,2011-11-24,361,9,346,6816.420000000005,38.0,15
12477,2011-02-11,2011-11-17,301,5,279,13219.73999999999,56.0,22
12478,2011-12-06,2011-12-06,3,0,0,680.9900000000002,0.0,3
12479,2011-11-28,2011-11-28,11,0,0,527.2,0.0,11
12480,2011-01-07,2011-11-11,336,3,308,3281.6300000000015,103.0,28
12481,2010-12-09,2011-11-17,365,7,343,5596.320000000002,49.0,22
12483,2011-01-04,2011-11-22,339,7,322,2484.980000000001,46.0,17
12484,2011-01-07,2011-11-07,336,5,304,4541.720000000001,61.0,32
12488,2011-09-25,2011-11-30,75,2,66,1298.6599999999999,33.0,9
12489,2011-01-07,2011-01-07,336,0,0,334.93,0.0,336
12490,2011-01-14,2011-12-04,329,9,324,5417.9299999999985,36.0,5
12491,2011-11-01,2011-11-01,38,0,0,460.40000000000003,0.0,38
12492,2011-08-26,2011-10-07,105,1,42,263.21000000000004,42.0,63
12493,2011-05-26,2011-06-27,197,1,32,433.74,32.0,165
12494,2010-12-09,2011-11-24,365,6,350,1246.1000000000006,58.0,15
12497,2011-09-19,2011-09-19,81,0,0,1043.1,0.0,81
12498,2011-10-13,2011-11-18,57,1,36,403.70000000000005,36.0,21
12500,2011-01-10,2011-11-16,333,9,310,4257.820000000001,34.0,23
12501,2011-01-07,2011-01-07,336,0,0,2169.3899999999994,0.0,336
12502,2011-02-03,2011-09-05,309,4,214,3723.87,54.0,95
12504,2011-11-09,2011-11-21,30,1,12,482.04999999999995,12.0,18
12506,2011-04-21,2011-04-21,232,0,0,73.50000000000003,0.0,232
12507,2011-02-14,2011-07-28,298,2,164,1304.8100000000002,82.0,134
12508,2011-11-10,2011-11-13,29,1,3,398.27000000000004,3.0,26
12509,2011-02-28,2011-02-28,284,0,0,176.5,0.0,284
12510,2011-01-18,2011-07-20,325,1,183,982.57,183.0,142
12512,2011-10-04,2011-10-04,66,0,0,138.03000000000006,0.0,66
12513,2011-08-19,2011-08-19,112,0,0,612.2900000000001,0.0,112
12514,2011-03-17,2011-03-17,267,0,0,1017.6800000000002,0.0,267
12515,2010-12-21,2010-12-21,353,0,0,383.7,0.0,353
12516,2011-06-12,2011-09-23,180,1,103,1312.06,103.0,77
12517,2011-06-02,2011-11-11,190,3,162,2502.8399999999983,54.0,28
12518,2011-08-21,2011-12-09,110,4,110,2056.8899999999994,28.0,0
12519,2011-10-07,2011-10-07,63,0,0,340.84000000000003,0.0,63
12520,2011-03-11,2011-09-21,273,4,194,2634.26,48.0,79
12521,2011-07-20,2011-07-20,142,0,0,599.6800000000001,0.0,142
12522,2011-10-19,2011-10-31,51,1,12,192.72000000000003,12.0,39
12523,2011-01-12,2011-11-20,331,10,312,1789.7700000000007,31.0,19
12524,2011-01-10,2011-11-30,333,7,324,4485.719999999999,46.0,9
12526,2011-09-06,2011-12-09,94,2,94,1316.6600000000005,47.0,0
12527,2011-01-18,2011-09-19,325,2,244,348.71000000000004,122.0,81
12528,2011-01-31,2011-11-30,312,5,303,1933.4800000000007,61.0,9
12530,2011-01-07,2011-10-11,336,3,277,1662.2799999999993,92.0,59
12531,2011-11-25,2011-11-25,14,0,0,125.22,0.0,14
12532,2011-11-09,2011-11-09,30,0,0,349.83,0.0,30
12534,2011-08-01,2011-08-01,130,0,0,1089.18,0.0,130
12535,2011-06-06,2011-09-09,186,1,95,716.3500000000001,95.0,91
12536,2011-10-11,2011-10-27,59,1,16,12601.830000000005,16.0,43
12538,2011-11-10,2011-11-10,29,0,0,363.95,0.0,29
12539,2011-01-10,2011-11-17,333,3,311,5568.349999999995,104.0,22
12540,2010-12-13,2011-11-20,361,16,342,13400.23999999999,21.0,19
12541,2011-03-04,2011-11-10,280,2,251,981.1800000000002,126.0,29
12544,2011-11-03,2011-11-03,36,0,0,372.70000000000005,0.0,36
12545,2011-03-25,2011-09-25,259,1,184,1000.3899999999999,184.0,75
12546,2011-09-23,2011-10-24,77,1,31,1161.5,31.0,46
12547,2011-03-04,2011-05-26,280,1,83,207.8,83.0,197
12548,2011-06-26,2011-06-26,166,0,0,95.19999999999999,0.0,166
12550,2011-09-21,2011-09-21,79,0,0,964.8299999999994,0.0,79
12551,2010-12-17,2010-12-17,357,0,0,168.0,0.0,357
12552,2011-10-31,2011-11-01,39,1,1,437.81999999999994,1.0,38
12553,2011-01-14,2011-12-01,329,9,321,3692.280000000001,36.0,8
12556,2011-07-11,2011-10-20,151,1,101,603.7099999999997,101.0,50
12557,2010-12-03,2011-11-23,371,4,355,11990.96,89.0,16
12558,2011-12-02,2011-12-02,7,0,0,269.96000000000004,0.0,7
12559,2011-01-24,2011-02-02,319,1,9,561.71,9.0,310
12560,2011-07-19,2011-12-04,143,2,138,2134.01,69.0,5
12561,2011-02-10,2011-02-10,302,0,0,238.85000000000002,0.0,302
12562,2011-05-25,2011-12-01,198,6,190,3781.7400000000025,32.0,8
12564,2011-03-23,2011-03-23,261,0,0,456.9000000000001,0.0,261
12565,2011-02-24,2011-02-24,288,0,0,145.92000000000002,0.0,288
12566,2011-09-14,2011-09-14,86,0,0,351.65000000000003,0.0,86
12567,2010-12-05,2011-11-17,369,8,347,9401.279999999993,43.0,22
12569,2011-04-01,2011-12-07,252,25,250,4124.69,10.0,2
12571,2011-08-10,2011-10-31,121,1,82,519.6099999999999,82.0,39
