CustomerID,sales,frequency,recency,flag,k_cluster
18102,233736.9300000001,57,1,high,2
17450,192521.94999999992,44,9,high,2
16446,168472.5,2,1,high,2
17511,87591.69999999997,29,3,high,2
12346,77183.6,1,326,high,0
16029,76753.31999999999,60,39,high,2
16684,66653.55999999997,28,5,high,2
14096,65164.790000000095,17,5,high,2
13694,64197.49999999999,49,4,high,2
15311,59416.19,88,1,high,2
17949,57196.48,44,2,high,2
15769,56160.92,25,8,high,2
13089,55595.21000000001,94,3,high,2
14298,51527.30000000001,44,9,high,2
14088,50491.81000000001,13,11,high,2
15749,44534.3,3,236,high,0
15061,43104.640000000014,41,4,high,2
12931,42055.959999999985,15,22,high,2
15098,39916.5,3,183,high,0
17841,39707.96,121,2,high,2
13798,36745.85000000001,56,2,high,2
16013,36068.599999999984,45,4,high,2
16422,33016.2,50,18,high,2
15838,32685.58,18,12,high,2
12748,31854.58,195,1,high,2
17389,31833.68,34,1,high,2
13098,28882.44000000001,28,2,high,2
14680,27073.230000000003,15,26,high,2
17857,26879.04,23,5,high,2
16333,26626.800000000007,22,8,high,2
13408,26558.359999999986,60,2,high,2
13081,25970.59999999999,9,12,high,2
17675,19757.160000000003,30,2,high,2
15039,19302.930000000008,46,10,high,2
13777,19137.0,24,1,high,2
15159,18641.010000000006,30,2,high,2
12901,17654.54,28,9,high,2
13881,17159.519999999997,20,4,high,2
17428,16903.85,27,1,high,2
17381,16671.89,26,9,high,2
14607,16569.5,14,16,high,2
15856,16387.57,27,5,high,2
16210,16347.76,16,2,high,2
15189,16225.390000000005,41,2,high,2
16839,16042.109999999995,33,9,high,2
12921,15899.29,35,10,high,2
13767,15583.4,34,3,high,2
14031,15572.61,18,8,high,2
14051,14986.97,22,1,high,2
17677,14746.630000000005,26,2,high,2
16133,14589.04,33,4,high,2
15513,14401.22,18,34,high,2
14866,14286.22,11,11,high,2
16705,14034.989999999998,20,1,high,2
14258,12669.98,9,10,high,2
17735,12655.42,18,3,high,2
16525,12616.01,25,3,high,2
16000,12393.7,3,3,high,2
15498,12339.68,25,3,high,2
15640,12181.940000000004,14,5,high,2
13078,12113.55,25,4,high,2
13113,11872.989999999998,23,1,high,2
12939,11581.8,8,65,high,2
14606,11549.769999999995,90,2,high,2
15125,11528.48,15,26,high,2
14194,11349.520000000002,21,5,high,2
14895,11138.71,20,8,high,2
15482,11054.96,12,16,high,2
